-1.3046,-0.1606
-1.4341,-0.3372
-1.3475,-0.0421
-1.3426,0.0746
-1.2433,-0.0451
-1.3477,0.014
-1.2695,0.0159
-1.256,-0.0217
-1.4525,-0.16
-1.4813,0.2405
-1.2533,0.141
-1.116,0.1336
-1.2506,0.0134
-1.4179,0.1585
-1.1427,0.1662
-1.2654,0.2749
-1.3093,0.4972
-0.8894,0.5117
-1.2147,0.4365
-1.0589,0.5416
-1.0974,0.3831
-1.1807,0.565
-1.0185,0.5226
-1.1234,0.5162
-0.926,0.5602
-1.1131,0.6486
-1.0704,0.4117
-1.309,0.66
-0.9298,0.6564
-0.7473,0.7469
-0.8765,0.7687
-1.0327,0.6897
-0.88,0.6879
-0.7897,0.8371
-0.9968,0.5561
-0.7329,0.8403
-0.9754,0.4914
-0.587,0.8492
-0.7836,0.9945
-0.5976,0.7718
-0.6082,1.1435
-0.5593,0.8088
-0.4512,0.6593
-0.447,0.9503
-0.5153,0.8144
-0.4882,0.8137
-0.3907,0.98
-0.331,0.9054
-0.4595,0.8447
-0.2568,0.8148
-0.1615,0.6493
-0.1068,0.9994
-0.3376,0.9333
-0.0439,0.8333
-0.0312,0.8441
-0.1402,0.8472
-0.0961,1.0671
0.0436,0.9985
-0.2503,0.7038
-0.1422,0.917
-0.1054,0.939
-0.0536,0.822
0.3137,0.8682
0.072,0.6508
0.0782,0.8938
-0.0973,0.6904
0.1411,0.7367
0.1296,0.7934
0.2079,0.5609
0.2143,0.8637
0.0133,0.8896
0.2598,0.6927
0.1868,0.9497
0.1563,0.3887
0.2798,0.5154
0.2081,0.6446
0.3619,0.4604
0.453,0.24
0.3655,0.4805
0.4878,0.3051
0.3224,0.4864
0.4199,0.3399
0.4536,0.2371
0.4703,0.3144
0.325,0.3584
0.4466,0.2982
0.6724,0.3708
0.5432,0.2119
0.6769,0.1165
0.5262,0.286
0.8319,0.2159
0.6931,-0.0227
0.3347,-0.0805
0.6928,0.0936
0.4681,0.0717
0.6455,-0.0896
0.6603,-0.0498
0.6617,-0.1023
0.5885,-0.0414
0.5709,-0.1069
-0.5597,0.1367
-0.6311,0.2434
-0.4894,0.0448
-0.6578,0.1441
-0.4873,0.2604
-0.5392,-0.0516
-0.6547,-0.0502
-0.6288,-0.1486
-0.7275,-0.1015
-0.6298,0.0501
-0.3436,-0.2539
-0.6768,-0.1921
-0.6052,-0.2849
-0.4088,-0.1798
-0.5129,-0.2064
-0.3433,-0.3513
-0.5111,-0.3768
-0.4578,-0.3235
-0.3441,-0.5589
-0.4199,-0.3592
-0.3887,-0.4941
-0.647,-0.5287
-0.4376,-0.4311
-0.254,-0.5804
-0.5833,-0.5855
-0.218,-0.5837
-0.3327,-0.432
-0.4364,-0.6702
-0.4299,-0.6884
-0.4017,-0.7903
-0.2743,-0.5594
-0.23,-0.5676
-0.0773,-0.6538
-0.0194,-0.7473
-0.1527,-0.7179
-0.2595,-0.5159
-0.0402,-0.8188
0.1271,-0.7987
0.0809,-0.5309
0.1404,-0.8573
0.1402,-0.6199
-0.0565,-0.6858
0.0977,-0.896
0.1566,-0.7853
0.2867,-0.9838
0.1906,-1.0191
0.0526,-0.7277
-0.0401,-0.8271
0.3977,-0.7768
0.524,-0.9277
0.3055,-0.9099
0.535,-0.8659
0.5637,-0.8476
0.42,-0.9719
0.5199,-0.7543
0.6421,-0.7453
0.616,-0.7585
0.4763,-0.8627
0.5213,-0.8194
0.622,-0.7689
0.6079,-0.7382
0.8823,-0.8498
0.6742,-0.6028
1.08,-0.5724
0.7631,-0.7106
0.8309,-0.7879
0.9476,-0.7258
0.6503,-0.6596
0.9792,-0.6558
0.9327,-0.5266
0.9087,-0.4398
1.2249,-0.5257
1.002,-0.6705
0.8749,-0.6966
0.9947,-0.4664
1.2899,-0.7225
1.2173,-0.3204
1.1954,-0.5276
1.2815,-0.48
1.2609,-0.4442
1.2198,-0.5365
1.2043,-0.341
1.2503,-0.3602
1.2035,-0.3879
1.3811,-0.0959
1.2714,-0.1807
1.4145,-0.0326
1.128,-0.3075
1.3946,-0.0686
1.1405,-0.219
1.2109,-0.1448
1.4998,0.0787
1.1156,-0.0481
1.5878,0.1745
1.2817,0.4193
1.3417,-0.0501
1.229,-0.1015
1.4039,0.2343
1.2912,0.1612
1.2759,0.1342
